"","TI","code","age","gender","edu","manage","conhour","contype","lmx","infshare","voice","paysatis","fair","proact","caropp"
"421",1,"IFgroen",-3.36107290233838,0.570151306740027,1.07977991746905,0.762723521320495,0.438101788170563,0.195323246217332,0.841872994039431,1.48211829436039,0.313101788170564,-0.369784502521779,0.383296079779917,0.661072902338376,1.70724438331041
"422",1,"IFgroen",-1.36107290233838,0.570151306740027,0.0797799174690512,-0.237276478679505,-17.5618982118294,0.195323246217332,0.258539660706098,-0.517881705639615,0.313101788170564,0.296882164144888,0.195796079779917,1.06107290233838,0.707244383310408
"423",4,"IFgroen",-14.3610729023384,-0.429848693259972,0.0797799174690512,-0.237276478679505,-31.5618982118294,0.195323246217332,-0.241460339293902,-1.01788170563961,0.313101788170564,0.296882164144888,-0.366703920220083,0.461072902338377,-0.959422283356258
"424",3.33333333333333,"IFpaars",12.6389270976616,-0.429848693259972,0.0797799174690512,-0.237276478679505,8.43810178817056,0.195323246217332,0.175206327372765,1.48211829436039,0.313101788170564,-0.369784502521779,-0.616703920220083,0.261072902338377,-0.292755616689592
"425",3.33333333333333,"IFpaars",11.6389270976616,-0.429848693259972,0.0797799174690512,-0.237276478679505,8.43810178817056,0.195323246217332,-0.0747936726272354,1.48211829436039,1.06310178817056,-2.03645116918845,-0.429203920220083,0.0610729023383767,0.707244383310408
"426",1.66666666666667,"IFpaars",-7.36107290233838,0.570151306740027,-0.920220082530949,-0.237276478679505,2.43810178817056,0.195323246217332,-0.491460339293902,1.48211829436039,-0.686898211829436,0.630215497478221,0.320796079779917,0.0610729023383767,0.707244383310408
"427",3.33333333333333,"IFpaars",10.6389270976616,-0.429848693259972,1.07977991746905,-0.237276478679505,8.43810178817056,0.195323246217332,-0.824793672627235,0.482118294360385,-0.686898211829436,-0.703117835855112,-0.366703920220083,-0.138927097661623,-1.29275561668959
"428",2.66666666666667,"IFpaars",0.638927097661622,-0.429848693259972,1.07977991746905,-0.237276478679505,6.43810178817056,0.195323246217332,0.0918729940394316,1.48211829436039,-0.436898211829436,-0.0364511691884455,0.00829607977991742,-0.138927097661623,0.707244383310408
"429",2.33333333333333,"IFpaars",-13.3610729023384,0.570151306740027,-0.920220082530949,-0.237276478679505,8.43810178817056,-0.804676753782668,0.258539660706098,1.48211829436039,-0.686898211829436,0.630215497478221,-0.0542039202200826,0.0610729023383767,-0.626088950022925
"430",1,"IFpaars",-11.3610729023384,-0.429848693259972,0.0797799174690512,-0.237276478679505,8.43810178817056,0.195323246217332,-0.241460339293902,0.482118294360385,-0.686898211829436,0.296882164144888,-0.179203920220083,-0.338927097661623,-1.29275561668959
"431",2.33333333333333,"IFpaars",15.6389270976616,-0.429848693259972,1.07977991746905,0.762723521320495,8.43810178817056,0.195323246217332,0.0918729940394316,1.48211829436039,-0.686898211829436,0.296882164144888,-0.179203920220083,0.0610729023383767,-0.292755616689592
