TI,code,age,gender,edu,manage,conhour,contype,lmx,infshare,voice,paysatis,fair,proact,caropp,N,FTEN,FTELY,Council,HR,Levels,Departments,Managers,FB,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,SB,AB,ce,sp,eo
2.333333333,ALgrijs,-5.361072902,-0.429848693,-0.920220083,0.762723521,6.438101788,0.195323246,-0.074793673,-2.517881706,-1.436898212,0.296882164,-0.30420392,0.661072902,0.040577717,-18.27166437,-29.40302613,-25.52063274,-0.170563961,0.55914718,-2.667125172,-3.770976616,-2.463548831,0.450481431,-1.136176066,-0.150618982,0.171939477,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,-0.829203278,-0.458655206,0.09321769
2.333333333,ALgrijs,14.6389271,0.570151307,-1.920220083,-0.237276479,-18.56189821,0.195323246,-0.074793673,1.482118294,1.813101788,-0.369784503,0.38329608,-0.538927098,-0.292755617,-18.27166437,-29.40302613,-25.52063274,-0.170563961,0.55914718,-2.667125172,-3.770976616,-2.463548831,0.450481431,-1.136176066,-0.150618982,0.171939477,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,-0.829203278,-0.458655206,0.09321769
2,ALgrijs,-15.3610729,0.570151307,0.079779917,-0.237276479,-26.56189821,-0.804676754,0.675206327,-0.517881706,-0.186898212,0.296882164,0.25829608,0.461072902,-0.959422283,-18.27166437,-29.40302613,-25.52063274,-0.170563961,0.55914718,-2.667125172,-3.770976616,-2.463548831,0.450481431,-1.136176066,-0.150618982,0.171939477,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,-0.829203278,-0.458655206,0.09321769
1,ALgrijs,6.638927098,0.570151307,-0.920220083,0.762723521,8.438101788,0.195323246,0.675206327,-1.017881706,-0.186898212,0.630215497,0.50829608,-0.138927098,0.707244383,-18.27166437,-29.40302613,-25.52063274,-0.170563961,0.55914718,-2.667125172,-3.770976616,-2.463548831,0.450481431,-1.136176066,-0.150618982,0.171939477,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,-0.829203278,-0.458655206,0.09321769
1.333333333,ALgrijs,1.638927098,-0.429848693,-0.920220083,-0.237276479,0.438101788,-0.804676754,1.175206327,1.482118294,1.063101788,0.630215497,0.57079608,1.061072902,0.37391105,-18.27166437,-29.40302613,-25.52063274,-0.170563961,0.55914718,-2.667125172,-3.770976616,-2.463548831,0.450481431,-1.136176066,-0.150618982,0.171939477,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,-0.829203278,-0.458655206,0.09321769
2,ALgrijs,11.6389271,0.570151307,-1.920220083,-0.237276479,-11.56189821,0.195323246,-0.074793673,0.982118294,0.813101788,-0.369784503,-0.05420392,0.261072902,-0.62608895,-18.27166437,-29.40302613,-25.52063274,-0.170563961,0.55914718,-2.667125172,-3.770976616,-2.463548831,0.450481431,-1.136176066,-0.150618982,0.171939477,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,-0.829203278,-0.458655206,0.09321769
1,ALgrijs,11.6389271,0.570151307,-0.920220083,-0.237276479,-11.56189821,0.195323246,0.508539661,0.982118294,-0.186898212,0.963548831,-0.05420392,-0.538927098,-1.62608895,-18.27166437,-29.40302613,-25.52063274,-0.170563961,0.55914718,-2.667125172,-3.770976616,-2.463548831,0.450481431,-1.136176066,-0.150618982,0.171939477,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,-0.829203278,-0.458655206,0.09321769
1.333333333,ALgrijs,17.6389271,0.570151307,-0.920220083,-0.237276479,-31.56189821,0.195323246,-0.158127006,-0.517881706,-0.186898212,0.630215497,0.82079608,-0.138927098,-2.292755617,-18.27166437,-29.40302613,-25.52063274,-0.170563961,0.55914718,-2.667125172,-3.770976616,-2.463548831,0.450481431,-1.136176066,-0.150618982,0.171939477,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,-0.829203278,-0.458655206,0.09321769
1.333333333,ALgroen,7.638927098,-0.429848693,0.079779917,-0.237276479,6.438101788,0.195323246,-0.158127006,0.482118294,-0.436898212,0.630215497,0.00829608,-0.138927098,-0.292755617,-26.27166437,-16.40302613,-14.52063274,-0.170563961,-0.44085282,-0.667125172,-1.770976616,-2.463548831,0.450481431,-1.136176066,0.849381018,1.171939477,-1.149931224,-0.539202201,-0.187070151,-0.094910591,0.955295736,0.149243466,-0.04561161,-0.085434174,0.742225294,-0.074039822,-0.462337865
1,ALgroen,-8.361072902,-0.429848693,-0.920220083,-0.237276479,6.438101788,-0.804676754,0.925206327,1.482118294,-0.436898212,0.630215497,-0.05420392,-0.138927098,-0.292755617,-26.27166437,-16.40302613,-14.52063274,-0.170563961,-0.44085282,-0.667125172,-1.770976616,-2.463548831,0.450481431,-1.136176066,0.849381018,1.171939477,-1.149931224,-0.539202201,-0.187070151,-0.094910591,0.955295736,0.149243466,-0.04561161,-0.085434174,0.742225294,-0.074039822,-0.462337865
